dedup_key,doi,pmid,year,venue,title,sources,n_sources,likely_review,likely_cancer_rt,include_screen1,exclude_reason
fastdisintegratingfilmscontaininganastrozoleasadosageformfor,10.1007/s12272-012-1215-3,23263812,2012,Arch Pharm Res,Fast disintegrating films containing anastrozole as a dosage form for dysphagia patients.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
classificationofhighresolutionmanometrydataaccordingtovideof,10.1177/0194599813489506,23728150,2013,Otolaryngol Head Neck Surg,Classification of high-resolution manometry data according to videofluoroscopic parameters using pattern recognition.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
calculationofupperesophagealsphincterrestitutiontimefromhigh,10.1016/j.physbeh.2016.08.005,27521686,2016,Physiol Behav,Calculation of upper esophageal sphincter restitution time from high resolution manometry data using machine learning.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
objectivepredictionofpharyngealswallowdysfunctionindysphagia,10.1111/nmo.12730,26891061,2016,Neurogastroenterol Motil,Objective prediction of pharyngeal swallow dysfunction in dysphagia through artificial neural network modeling.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
quantitativeevaluationofheadandneckcancertreatmentrelateddys,10.1016/j.ijrobp.2017.08.004,29165287,2017,Int J Radiat Oncol Biol Phys,Quantitative Evaluation of Head and Neck Cancer Treatment-Related Dysphagia in the Development of a Personalized Treatment Deintensification Paradigm.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,CANCER/RT,,
automaticdetectionoforalandpharyngealphasesinswallowingusing,10.1016/j.jelekin.2018.10.004,30384221,2018,J Electromyogr Kinesiol,Automatic detection of oral and pharyngeal phases in swallowing using classification algorithms and multichannel EMG.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
automatichyoidbonedetectioninfluoroscopicimagesusingdeeplear,10.1038/s41598-018-30182-6,30120314,2018,Sci Rep,Automatic hyoid bone detection in fluoroscopic images using deep learning.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
usingmachinelearningandacombinationofrespiratoryflowlaryngea,10.1109/tbme.2018.2807487,29993526,2018,IEEE Trans Biomed Eng,"Using Machine Learning and a Combination of Respiratory Flow, Laryngeal Motion, and Swallowing Sounds to Classify Safe and Unsafe Swallowing.","EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
incorporatingspatialdosemetricsinmachinelearningbasednormalt,10.1016/j.ctro.2017.11.009,29399642,2018,Clin Transl Radiat Oncol,Incorporating spatial dose metrics in machine learning-based normal tissue complication probability (NTCP) models of severe acute dysphagia resulting from head and neck radiotherapy.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,CANCER/RT,,
identificationofswallowingdisordersinearlyandmidstageparkins,10.1111/nmo.13236,29143418,2018,Neurogastroenterol Motil,Identification of swallowing disorders in early and mid-stage Parkinson's disease using pattern recognition of pharyngeal high-resolution manometry data.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
necksensorsupportedhyoidbonemovementtrackingduringswallowing,10.1098/rsos.181982,31417694,2019,R Soc Open Sci,Neck sensor-supported hyoid bone movement tracking during swallowing.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
machinelearningprognosticmodelsfromthe201416ebolaoutbreakdat,10.1016/j.eclinm.2019.06.003,31312805,2019,EClinicalMedicine,"Machine-learning Prognostic Models from the 2014-16 Ebola Outbreak: Data-harmonization Challenges, Validation Strategies, and mHealth Applications.","EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
utilityofaclinicaldecisionsupportsysteminweightlosspredictio,10.1200/cci.18.00058,30860866,2019,JCO Clin Cancer Inform,Utility of a Clinical Decision Support System in Weight Loss Prediction After Head and Neck Cancer Radiotherapy.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,CANCER/RT,,
artificialintelligenceanddysphagianovelsolutionstooldproblem,10.1590/s0004-2803.202000000-66,33331470,2020,Arq Gastroenterol,ARTIFICIAL INTELLIGENCE AND DYSPHAGIA: NOVEL SOLUTIONS TO OLD PROBLEMS.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
combinationofabigdataanalyticsresourcesystemwithanartificial,10.1016/j.adro.2019.12.007,33305091,2020,Adv Radiat Oncol,Combination of a Big Data Analytics Resource System With an Artificial Intelligence Algorithm to Identify Clinically Actionable Radiation Dose Thresholds for Dysphagia in Head and Neck Patients.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,CANCER/RT,,
automaticestimationoflaryngealvestibuleclosuredurationusingh,10.1044/2020_persp-20-00073,35937555,2020,Perspect ASHA Spec Interest Groups,Automatic Estimation of Laryngeal Vestibule Closure Duration Using High- Resolution Cervical Auscultation Signals.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
anartificialneuralnetworkmodelpredictingpathologicnodalmetas,10.21037/jtd-20-1956,33209391,2020,J Thorac Dis,An artificial neural network model predicting pathologic nodal metastases in clinical stage I-II esophageal squamous cell carcinoma patients.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,CANCER/RT,,
machinelearninganalysistoautomaticallymeasureresponsetimeofp,10.1038/s41598-020-71713-4,32895465,2020,Sci Rep,Machine learning analysis to automatically measure response time of pharyngeal swallowing reflex in videofluoroscopic swallowing study.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
corticalandsubcorticalcontrolofswallowingcanweuseinformation,10.1044/2019_ajslp-19-00068,32650664,2020,Am J Speech Lang Pathol,Cortical and Subcortical Control of Swallowing-Can We Use Information From Lesion Locations to Improve Diagnosis and Treatment for Patients With Stroke?,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
highresolutioncervicalauscultationanddatasciencenewtoolstoad,10.1044/2020_ajslp-19-00155,32650655,2020,Am J Speech Lang Pathol,High-Resolution Cervical Auscultation and Data Science: New Tools to Address an Old Problem.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
multivariableriskpredictionofdysphagiainhospitalizedpatients,10.3233/shti200071,32578538,2020,Stud Health Technol Inform,Multivariable Risk Prediction of Dysphagia in Hospitalized Patients Using Machine Learning.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
noninvasiveidentificationofswallowsviadeeplearninginhighreso,10.1038/s41598-020-65492-1,32457331,2020,Sci Rep,Non-invasive identification of swallows via deep learning in high resolution cervical auscultation recordings.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
classifyingdysphagicswallowingsoundswithsupportvectormachine,10.3390/healthcare8020103,32326267,2020,Healthcare (Basel),Classifying Dysphagic Swallowing Sounds with Support Vector Machines.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
segmentationofcervicalintervertebraldisksinvideofluorography,10.1007/s11548-020-02145-8,32306186,2020,Int J Comput Assist Radiol Surg,"Segmentation of cervical intervertebral disks in videofluorography by CNN, multi-channelization and feature selection.","EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
assessingstrokeseverityusingelectronichealthrecorddataamachi,10.1186/s12911-019-1010-x,31914991,2020,BMC Med Inform Decis Mak,Assessing stroke severity using electronic health record data: a machine learning approach.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
developmentofanovelprognosticmodeltopredict6monthswallowingr,10.1161/strokeaha.119.027439,31884906,2020,Stroke,Development of a Novel Prognostic Model to Predict 6-Month Swallowing Recovery After Ischemic Stroke.,"EuropePMC,OpenAlex,PubMed,SemanticScholar",4,,,,
