source,id,doi,pmid,year,venue,title
OpenAlex,W4383744437,10.1016/j.bspc.2023.105259,,2023,Biomedical Signal Processing and Control,Non-invasive way to diagnose dysphagia by training deep learning model with voice spectrograms
OpenAlex,W4388975157,10.3389/fnins.2023.1302132,,2023,Frontiers in Neuroscience,Machine-learning assisted swallowing assessment: a deep learning-based quality improvement tool to screen for post-stroke dysphagia
OpenAlex,W4225323890,10.1109/icassp43922.2022.9747732,,2022,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",SegNet-Based Deep Representation Learning for Dysphagia Classification
OpenAlex,W4402094861,10.1038/s41598-024-70774-z,,2024,Scientific Reports,Deep learning approach for dysphagia detection by syllable-based speech analysis with daily conversations
OpenAlex,W4310334736,10.1109/jbhi.2022.3224323,,2022,IEEE Journal of Biomedical and Health Informatics,Autonomous Swallow Segment Extraction Using Deep Learning in Neck-Sensor Vibratory Signals From Patients With Dysphagia
OpenAlex,W4403411529,10.1016/j.bspc.2024.107030,,2024,Biomedical Signal Processing and Control,"Dysphagia screening with sEMG, accelerometry and speech: Multimodal machine and deep learning approaches"
OpenAlex,W4401273361,10.3389/fbioe.2024.1433087,,2024,Frontiers in Bioengineering and Biotechnology,A deep learning approach to dysphagia-aspiration detecting algorithm through pre- and post-swallowing voice changes
OpenAlex,W4403485039,10.2478/ebtj-2024-0017,,2024,The EuroBiotech Journal,Examining Tongue Movement Intentions in EEG-Based BCI with Machine and Deep Learning: An Approach for Dysphagia Rehabilitation
OpenAlex,W4414617036,10.1016/j.radonc.2025.111169,,2025,Radiotherapy and Oncology,"Deep learning NTCP model for late dysphagia after radiotherapy for head and neck cancer patients based on 3D dose, CT and segmentations"
OpenAlex,W4404577232,10.23919/eusipco63174.2024.10715457,,2024,,Examining Tongue Movement Intentions in EEG with Machine and Deep Learning: An Approach for Dysphagia Rehabilitation
OpenAlex,W4235823940,10.17077/etd.005452,,2020,,A Deep Learning Approach to Detecting Dysphagia in Videofluoroscopy
OpenAlex,W4220932203,10.3346/jkms.2022.37.e42,,2022,Journal of Korean Medical Science,Deep Learning Analysis to Automatically Detect the Presence of Penetration or Aspiration in Videofluoroscopic Swallowing Study
OpenAlex,W4401430579,10.1177/20552076241271778,,2024,Digital Health,Diagnostic value of a deep learning-based hyoid bone tracking model for aspiration in patients with post-stroke dysphagia
OpenAlex,W2886531606,10.1038/s41598-018-30182-6,,2018,Scientific Reports,Automatic hyoid bone detection in fluoroscopic images using deep learning
OpenAlex,W3030237993,10.1038/s41598-020-65492-1,,2020,Scientific Reports,Non-invasive identification of swallows via deep learning in high resolution cervical auscultation recordings
OpenAlex,W4401750149,10.1109/isbi56570.2024.10635369,,2024,,New Deep Learning-Based Approach for Dysphagia Assessment from Videofluoroscopy Swallowing Studies
OpenAlex,W4415647988,10.21203/rs.3.rs-7823321/v1,,2025,Research Square,Deep Learning-Based Classification of Dysphagia Severity Using M-Mode Ultrasound Imaging
OpenAlex,W3083842555,10.3390/app10186179,,2020,Applied Sciences,Automatic Detection of Airway Invasion from Videofluoroscopy via Deep Learning Technology
OpenAlex,W3175608620,10.3390/diagnostics11071147,,2021,Diagnostics,Hyoid Bone Tracking in a Videofluoroscopic Swallowing Study Using a Deep-Learning-Based Segmentation Network
OpenAlex,W4385213305,10.1016/s0167-8140(23)08502-x,,2023,Radiotherapy and Oncology,"OC-0088 Deep learning NTCP model for late dysphagia based on 3D dose, CT and segmentations"
OpenAlex,W4224301956,10.2196/29455,,2022,Journal of Medical Internet Research,Optimal Treatment Selection in Sequential Systemic and Locoregional Therapy of Oropharyngeal Squamous Carcinomas: Deep Q-Learning With a Patient-Physician Digital Twin Dyad
OpenAlex,W4225109383,10.1007/s00455-022-10438-0,,2022,Dysphagia,Deep Learning for Automatic Hyoid Tracking in Videofluoroscopic Swallow Studies
OpenAlex,W3163721054,10.1016/s0016-5085(21)01084-2,,2021,Gastroenterology,690 CLASSIFICATION OF FUNCTIONAL DYSPHAGIA IN ADULTS USING DEEP STRUCTURED LEARNING OF ESOPHAGEAL INTRALUMINAL ELECTRICAL ADMITTANCE MEASUREMENTS
OpenAlex,W4200424963,10.1088/1361-6560/ac4000,,2021,Physics in Medicine and Biology,Prospectively-validated deep learning model for segmenting swallowing and chewing structures in CT
OpenAlex,W4411477215,10.1101/2025.06.20.25329926,,2025,medRxiv,"Deep learning NTCP model for late dysphagia after radiotherapy for head and neck cancer patients based on 3D dose, CT and segmentations"
OpenAlex,W3027672453,10.1109/isbi45749.2020.9098510,,2020,,A Deep Learning Approach to Video Fluoroscopic Swallowing Exam Classification
OpenAlex,W3133477037,10.3390/diagnostics11020300,,2021,Diagnostics,Automatic Pharyngeal Phase Recognition in Untrimmed Videofluoroscopic Swallowing Study Using Transfer Learning with Deep Convolutional Neural Networks
OpenAlex,W4308262271,10.1038/s41598-022-21530-8,,2022,Scientific Reports,A preliminary deep learning study on automatic segmentation of contrast-enhanced bolus in videofluorography of swallowing
OpenAlex,W4390604273,10.1007/s11554-023-01398-1,,2024,Journal of Real-Time Image Processing,Deep learning models for bolus segmentation in videofluoroscopic swallow studies
OpenAlex,W4368360228,10.1002/mp.16431,,2023,Medical Physics,Patient selection for proton therapy using Normal Tissue Complication Probability with deep learning dose prediction for oropharyngeal cancer
