source,id,doi,pmid,year,venue,title
SemanticScholar,0014e677e74babb2302ea37edb34ca0e9e843b07,10.1038/s41598-026-53618-w,42168445,2026,Scientific Reports,Post-swallowing voice-based aspiration screening in dysphagia using a deep learning approach: insights from audio segmentation.
SemanticScholar,001d5225ef43f21ea65844aa6ecab2e628ea09f6,10.48550/arXiv.2602.02725,,2026,"IEEE International Conference on Acoustics, Speech, and Signal Processing",Automated Dysphagia Screening Using Noninvasive Neck Acoustic Sensing
SemanticScholar,00917edc641baf9307342ab583d82120df917a02,10.1038/s41598-022-20348-8,36202829,2022,Scientific Reports,Post-stroke respiratory complications using machine learning with voice features from mobile devices
SemanticScholar,012b7d9f1fcc7166b6ea7f09dcddba4781990cf2,10.1016/j.cmpb.2021.106248,34260973,2021,Comput. Methods Programs Biomed.,Machine learning based analysis of speech dimensions in functional oropharyngeal dysphagia
SemanticScholar,0217dc9337a18c5014402376c78a91b52353f56f,10.3390/ijerph19084529,35457398,2022,International Journal of Environmental Research and Public Health,A Basic Study for Predicting Dysphagia in Panoramic X-ray Images Using Artificial Intelligence (AI)—Part 1: Determining Evaluation Factors and Cutoff Levels
SemanticScholar,031cb8066054bdaefeb2dc505daa4a9bfd1ec4a9,10.7759/cureus.78804,40078269,2025,Cureus,The Contemporary Diagnostic Approaches to Esophageal Symptomatology
SemanticScholar,038ba1bdacb83cc56b2fb1527999f8b7c4f02d1b,10.1186/s13063-016-1307-3,27044367,2016,Trials,Evaluating a computer aid for assessing stomach symptoms (ECASS): study protocol for a randomised controlled trial
SemanticScholar,03d3bb3b703df3d7a05422c35daeaa4bb76aac0c,10.3390/s19183873,31500332,2019,Italian National Conference on Sensors,Automatic Detection of the Pharyngeal Phase in Raw Videos for the Videofluoroscopic Swallowing Study Using Efficient Data Collection and 3D Convolutional Networks
SemanticScholar,057cd957d690c4c09c42af1140ae20950422a64b,10.1111/all.15694,36869622,2023,Allergy. European Journal of Allergy and Clinical Immunology,In vivo and ex vivo inflammatory responses of the esophageal mucosa to food challenge in adults with eosinophilic esophagitis
SemanticScholar,0672529cf1fc8a17a9d7264d195796256cf98801,10.1080/10749357.2019.1701175,31838961,2019,Topics in Stroke Rehabilitation,Functionally navigated transcranial magnetic stimulation to evoke lingual pressure in stroke survivors with dysphagia and healthy adults: a proof of concept trial
SemanticScholar,06ab0402ee9e51adfeb198fe36cd1c7946020524,10.1109/ACCESS.2026.3694383,,2026,IEEE Access,Graph Neural Network-Based Regional Analysis of EEG During Imagined Swallowing: Identifying Cortical Contributions
SemanticScholar,06e70793f8a5985de454375fa875aaa132697103,10.1016/j.anl.2023.11.004,37980257,2023,"Auris, nasus, larynx",Effectiveness of FEES with artificial intelligence-assisted computer-aided diagnosis.
SemanticScholar,073b42c955f230caa77916d27b8e0230a6455454,10.1007/s00455-021-10368-3,34537905,2021,Dysphagia (New York. Print),Characterizing Effortful Swallows from Healthy Community Dwelling Adults Across the Lifespan Using High-Resolution Cervical Auscultation Signals and MBSImP Scores: A Preliminary Study
SemanticScholar,0818b4926d368d7fde4406c200248a641cb9dec2,10.1007/s00455-023-10623-9,37907728,2023,Dysphagia (New York. Print),Using ChatGPT to Generate Research Ideas in Dysphagia: A Pilot Study
SemanticScholar,08a169820d8ef5c697e6f24e526cf52c32f8fef4,10.3390/diagnostics12123202,36553209,2022,Diagnostics,Endoscopic Diagnosis of Eosinophilic Esophagitis: Basics and Recent Advances
SemanticScholar,08c172ca598e1c290622052e51fe60d0900a086b,10.1109/ICCSP64183.2025.11088624,,2025,"International Conference on Cryptography, Security and Privacy",Swallowing Pattern Recognition with IoT and Convolutional Neural Networks
SemanticScholar,0919ff8d83d69901c487a9a44eec6e508ae9e159,10.1145/3448109,,2021,,ViscoCam
SemanticScholar,09bd1d4eb27844712ef9504c87f99abbfb3a0b8f,10.1186/s13014-023-02381-7,38195582,2024,Radiation Oncology,Using meta-analysis and CNN-NLP to review and classify the medical literature for normal tissue complication probability in head and neck cancer
SemanticScholar,09d6773c46ae5fa2a94e63c00dcc3457eddfc996,10.1177/1756286419878317,31598137,2019,Therapeutic Advances in Neurological Disorders,Repetitive transcranial magnetic stimulation in stroke rehabilitation: review of the current evidence and pitfalls
SemanticScholar,0b2dab7728cc9fb993a2ce36c84c9e3bbcccea9d,10.3390/nu13114009,34836264,2021,Nutrients,A Machine Learning-Based Screening Test for Sarcopenic Dysphagia Using Image Recognition
SemanticScholar,0bae99e9dd0b1b08a1ee083045cb49e63cb17889,10.1002/mp.16431,37140481,2023,Medical Physics (Lancaster),Patient selection for proton therapy using Normal Tissue Complication Probability with deep learning dose prediction for oropharyngeal cancer.
SemanticScholar,0bebacfbdf137cb6c4f6a8f3f3c4b63300a51b87,10.1038/s41598-026-48214-x,41974983,2026,Scientific Reports,Explainable machine learning for predicting mechanical ventilation in Alzheimer’s patients with pneumonia: a SHAP-guided XGBoost nomogram based on MIMIC-IV
SemanticScholar,0bfc19b05d24ea98dcc8d8c3699549902df64d58,10.1186/s12984-024-01329-6,38555417,2024,Journal of NeuroEngineering and Rehabilitation,Prediction of dysphagia aspiration through machine learning-based analysis of patients’ postprandial voices
SemanticScholar,0c6fe52b0449f251c3b84e54edbeea11f6a37b84,10.1109/jbhi.2026.3695144,42154713,2026,IEEE journal of biomedical and health informatics,SPARNet: A Framework for Airway Invasion Tracking from Fluoroscopic Videos of Dysphagia Patients.
