repo,type,pmcid,paper,include,notes
osf:2ecz8,archive/data,PMC12934510,Machine learning-based prediction of herbal medicine response in functional dysp,no,archive/data link (not code repo)
osf:EFP4X,archive/data,PMC12603517,Predicting outcomes of smoking cessation interventions in novel scenarios using ,no,archive/data link (not code repo)
osf:EYH5A,archive/data,PMC12887789,A Scoping Review of Sensor-Based Capture of Eating and Drinking Occasions That C,no,archive/data link (not code repo)
osf:S3HNW,archive/data,PMC12399612,Artificial intelligence in dysphagia since the 21st century: a bibliometric and ,no,archive/data link (not code repo)
osf:W285C.,archive/data,PMC12815054,Symptom clusters in oesophageal cancer patients during varying phases of postope,no,archive/data link (not code repo)
osf:ad9y5_v1,archive/data,PMC13005063,Comparison of Emotional Content in Text Responses From Physicians and AI Chatbot,no,archive/data link (not code repo)
osf:db6qj,archive/data,PMC12123235,Recognition of Basic Activities of Daily Living Using Wearable Devices for Older,no,archive/data link (not code repo)
osf:ma32q,archive/data,PMC12903235,Respiratory-swallow assessment protocol for adult dysphagia management.,no,archive/data link (not code repo)
osf:p2vka,archive/data,PMC13237348,Anatomical-connectivity-guided functional connectivity reveals task-relevant pat,no,archive/data link (not code repo)
osf:q6n2z,archive/data,PMC12603517,Predicting outcomes of smoking cessation interventions in novel scenarios using ,no,archive/data link (not code repo)
osf:wpt28,archive/data,PMC12603517,Predicting outcomes of smoking cessation interventions in novel scenarios using ,no,archive/data link (not code repo)
zenodo:17076123,archive/data,PMC12452032,Impact of GTV-CTV margin and other predictors on radiation-induced dysphagia in ,no,archive/data link (not code repo)
zenodo:18185871,archive/data,PMC12858429,Spinal circuit mechanisms constrain therapeutic windows for ALS intervention: A ,no,archive/data link (not code repo)
zenodo:18185871.,archive/data,PMC12858429,Spinal circuit mechanisms constrain therapeutic windows for ALS intervention: A ,no,archive/data link (not code repo)
zenodo:18324208,archive/data,PMC13280397,Throat and acoustic paired speech dataset for deep learning-based speech enhance,no,archive/data link (not code repo)
zenodo:18580968,archive/data,PMC13194878,Development and validation of glucose trajectory subphenotypes in critically ill,no,archive/data link (not code repo)
zenodo:2547147,archive/data,PMC12696252,Comprehensive review of machine learning and deep learning techniques for epilep,no,archive/data link (not code repo)
zenodo:3891404,archive/data,PMC11622882,Artificial intelligence and machine learning approaches in cerebral palsy diagno,no,archive/data link (not code repo)
zenodo:5638470,archive/data,PMC11622882,Artificial intelligence and machine learning approaches in cerebral palsy diagno,no,archive/data link (not code repo)
zenodo:5747393,archive/data,PMC12274706,A systematic review of data and models for predicting food flavor and texture.,no,archive/data link (not code repo)
1aryantyagi/Segmentation-Paper,code,PMC12560992,A Combined Loss-driven Framework for Automated Parotid Segmentation in Head-and-,no,tool-cite or off-topic (auto-triaged)
5HYFILM-DATA/ajpom-oral-cancer,code,PMC12458719,Performance evaluation and clinical application exploration of a ViT-CNN ensembl,no,tool-cite or off-topic (auto-triaged)
AIITPlanet/Protocol,code,PMC10398366,Applied Machine Learning Techniques to Diagnose Voice-Affecting Conditions and D,no,tool-cite or off-topic (auto-triaged)
AlexeyAB/darknet,code,PMC10919637,Tongue feature dataset construction and real-time detection.,no,tool-cite or off-topic (auto-triaged)
Azkamir/lungCancer_model,code,PMC12699974,Revolutionizing Lung Cancer Detection: A High-Accuracy Machine Learning Framewor,no,tool-cite or off-topic (auto-triaged)
Azra3lzz/LaGAT,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
BYO-UPM/AVCA-ByO,code,PMC11655668,NeuroVoz: a Castillian Spanish corpus of parkinsonian speech.,no,tool-cite or off-topic (auto-triaged)
BYO-UPM/NeuroVoz_Dababase,code,PMC11655668,NeuroVoz: a Castillian Spanish corpus of parkinsonian speech.,no,tool-cite or off-topic (auto-triaged)
Bhabeshkalita/CleanSignal,code,PMC11484783,AnEEG: leveraging deep learning for effective artifact removal in EEG data.,no,tool-cite or off-topic (auto-triaged)
Bill-Chen-BJ/FJMI_EEG_fNIRS,code,PMC12144169,A multi-modal dataset of electroencephalography and functional near-infrared spe,no,tool-cite or off-topic (auto-triaged)
Blair1213/DDKG,code,PMC10978847,Accurate and interpretable drug-drug interaction prediction enabled by knowledge,no,tool-cite or off-topic (auto-triaged)
BootMaker/Bout_ML_behaviour_2024,code,PMC13123084,Recognising dog movement with behaviour-specific machine learning models: bout l,no,tool-cite or off-topic (auto-triaged)
CWRUChielLab/NEURONpyxl-2026-figures,code,PMC13226625,"NEURONpyxl: fast, flexible, Python-integrated simulation of biophysical neural n",no,tool-cite or off-topic (auto-triaged)
