source,repo,url,stars,license,archived,pushed_at,description,found_via,paper,include,notes
github,YashC1308/Larynx-Prediction-using-sEMG-data,https://github.com/YashC1308/Larynx-Prediction-using-sEMG-data,3,,False,2024-06-02,"Total laryngectomy (TL) patients face difficulties with speaking, swallowing, and coughing. This study analyzed surface EMG signals from larynx of controls and ",swallowing classification,,,
github,TanishqJoshi/Larynx-Function-prediction-using-W-KNN-on-sEMG-data,https://github.com/TanishqJoshi/Larynx-Function-prediction-using-W-KNN-on-sEMG-data,2,,False,2024-06-02,"Total laryngectomy (TL) patients face difficulties with speaking, swallowing, and coughing. This study analyzed surface EMG signals from larynx of controls and ",swallowing classification,,,
github,BSEL-UC3M/VFSS_analysis,https://github.com/BSEL-UC3M/VFSS_analysis,1,,False,2026-04-27,"Repository to automatically preprocess a Videofluoroscopic Swallowing Study (VFSS), label it with a deep learning-based framework, and extract 21 dynamic parame",dysphagia deep learning,,,
github,tsukagoshi56/liquid_swallowing_segmentation,https://github.com/tsukagoshi56/liquid_swallowing_segmentation,1,,False,2026-03-11,,swallowing segmentation,,,
github,tsukagoshi56/swallowing_segmentation_meanteacher,https://github.com/tsukagoshi56/swallowing_segmentation_meanteacher,1,,False,2026-03-11,,swallowing segmentation,,,
github,tsukagoshi56/swallowing_segmentation_with_ssl_gru,https://github.com/tsukagoshi56/swallowing_segmentation_with_ssl_gru,1,,False,2026-03-10,,swallowing segmentation,,,
github,zhengfj1994/dysphagia-viscosity-classifier,https://github.com/zhengfj1994/dysphagia-viscosity-classifier,0,,False,2025-10-28,A deep learning system for classifying dietary fluid viscosity from smartphone videos to assist dysphagia management.,dysphagia deep learning,,,
github,arivv22/ai-swallowing-sound-classification,https://github.com/arivv22/ai-swallowing-sound-classification,0,,False,2025-10-12,AI-based classification of swallowing sounds for early dysphagia detection using deep learning and acoustic signal processing (MFCC features + neural network mo,dysphagia deep learning,,,
github,aht4005/dysphagia-risk-calculator,https://github.com/aht4005/dysphagia-risk-calculator,0,,False,2026-05-25,Open-source interpretable machine-learning risk calculator for predicting postoperative dysphagia after anti-reflux surgery using multimodal preoperative physio,dysphagia machine learning,,,
github,devilalreddy/Learnings,https://github.com/devilalreddy/Learnings,0,,False,2020-01-04,Deep Learning and Swallow growth ,swallowing deep learning,,,
github,Kai-Washino/swallowing-recognition-DLmachine,https://github.com/Kai-Washino/swallowing-recognition-DLmachine,0,,False,2024-08-29,Deep Learningマシンで嚥下の推定を行うコード 基本的にipynb,swallowing deep learning,,,
github,scut-jol/swallow_segment_system,https://github.com/scut-jol/swallow_segment_system,0,,False,2024-09-08,System for swallowing segmentation and detection,swallowing segmentation,,,
github,SheenZhang721/SwallowingFunctionAnalysis-Self,https://github.com/SheenZhang721/SwallowingFunctionAnalysis-Self,0,,False,2026-03-29,A New Cine-MRI Segmentation Method of Tongue Dorsum for Postoperative Swallowing Function Analysis,swallowing segmentation,,,
github,MinghaoSam/SwallowingFunctionAnalysis,https://github.com/MinghaoSam/SwallowingFunctionAnalysis,0,MIT,False,2024-05-29,"Official code for ""A New Cine-MRI Segmentation Method of Tongue Dorsum for Postoperative Swallowing Function Analysis"" MICCAI2024",swallowing segmentation,,,
github,kwahid/ABAS_swallowing_structures,https://github.com/kwahid/ABAS_swallowing_structures,0,,False,2025-04-17,For atlas based auto-segmentation swallowing structures project. ,swallowing segmentation,,,
github,SheenZhang721/TTUnet,https://github.com/SheenZhang721/TTUnet,0,,False,2026-03-29,"Official code for ""A New Cine-MRI Segmentation Method of Tongue Dorsum for Postoperative Swallowing Function Analysis"" MICCAI2024",swallowing segmentation,,,
github,scut-jol/CFSCNet,https://github.com/scut-jol/CFSCNet,0,,False,2024-10-29,Article: CFSCNet: A Coarse-Fine Stream Conformer Neural Network for Swallow Segmentation Open Source Code Repository,swallowing segmentation,,,
github,20206666/Classification-of-chewing-and-swallowing,https://github.com/20206666/Classification-of-chewing-and-swallowing,0,,False,2023-09-12,,swallowing classification,,,
