repo,check_date,default_branch,license,env_file,weights,data_dir,readme,code_files,n_files,verdict_skeleton,error
aht4005/dysphagia-risk-calculator,2026-07-16,main,none/not_reported,requirements.txt,NONE,NONE,yes,1,5,not_attemptable (inference: NO weights),
MinghaoSam/SwallowingFunctionAnalysis,2026-07-16,main,MIT,NONE,NONE,datasets/,yes,26,577,not_attemptable (inference: NO weights),
scut-jol/CFSCNet,2026-07-16,main,none/not_reported,NONE,NONE,NONE,yes,14,16,not_attemptable (inference: NO weights),
scut-jol/swallow_segment_system,2026-07-16,main,none/not_reported,NONE,NONE,NONE,yes,1,2,not_attemptable (inference: NO weights),
kwahid/ABAS_swallowing_structures,2026-07-16,main,none/not_reported,NONE,NONE,NONE,yes,0,1,not_attemptable (inference: NO weights),
tsukagoshi56/liquid_swallowing_segmentation,2026-07-16,master,none/not_reported,requirements.txt,NONE,NONE,yes,16,21,not_attemptable (inference: NO weights),
tsukagoshi56/swallowing_segmentation_meanteacher,2026-07-16,main,none/not_reported,NONE,NONE,NONE,yes,20,27,not_attemptable (inference: NO weights),
tsukagoshi56/swallowing_segmentation_with_ssl_gru,2026-07-16,main,none/not_reported,requirements.txt,NONE,NONE,yes,3,7,not_attemptable (inference: NO weights),
zhengfj1994/dysphagia-viscosity-classifier,2026-07-16,main,none/not_reported,NONE,NONE,NONE,yes,10,11,not_attemptable (inference: NO weights),
arivv22/ai-swallowing-sound-classification,2026-07-16,master,none/not_reported,NONE,NONE,NONE,yes,1,2,not_attemptable (inference: NO weights),
Kai-Washino/swallowing-recognition-DLmachine,2026-07-16,main,none/not_reported,NONE,NONE,NONE,no,9,10,not_attemptable (inference: NO weights),
YashC1308/Larynx-Prediction-using-sEMG-data,2026-07-16,main,none/not_reported,NONE,NONE,data/;demo,yes,17,224,not_attemptable (inference: NO weights),
TanishqJoshi/Larynx-Function-prediction-using-W-KNN-on-sEMG-data,2026-07-16,main,none/not_reported,NONE,NONE,data/;demo,yes,17,225,not_attemptable (inference: NO weights),
20206666/Classification-of-chewing-and-swallowing,2026-07-16,main,none/not_reported,NONE,NONE,NONE,yes,0,4,not_attemptable (inference: NO weights),
SimonZeng7108/Video-SwinUNet,2026-07-16,master,none/not_reported,requirements.txt,NONE,data/;datasets/,yes,10,57,not_attemptable (inference: NO weights),
ResearchgroupMITI/swallow-detection,2026-07-16,main,CC0-1.0,NONE,NONE,datasets/,yes,24,41,not_attemptable (inference: NO weights),
enoch0307/streamlitapp_cn,2026-07-16,main,none/not_reported,requirements.txt,2,NONE,no,2,9,attemptable -> Docker re-run,
yonghunsong/Throat-related-events-classification,2026-07-16,main,none/not_reported,NONE,NONE,NONE,yes,12,17,not_attemptable (inference: NO weights),
ruaeh/Dysphagia-ML,2026-07-16,main,none/not_reported,NONE,NONE,NONE,no,0,0,not_attemptable (inference: NO weights),
PRI2MA/DL_NTCP_Dysphagia,2026-07-16,main,none/not_reported,NONE,NONE,NONE,yes,82,154,not_attemptable (inference: NO weights),
greenapple-sea/Esophagus-Motility-Data,2026-07-16,main,Apache-2.0,NONE,NONE,NONE,yes,0,2,not_attemptable (inference: NO weights),
